ftp-data                        20 
ftp                             21 
ssh                             22 # SSH Remote Login Protocol
telnet                          23 
smtp                            25 
whois                           43 
tacacs                          49 # Login Host Protocol (TACACS)
re-mail-ck                      50 # Remote Mail Checking Protocol
domain                          53 # Domain Name Server
mtp                             57 # deprecated
tacacs-ds                       65 # TACACS-Database Service
bootps                          67 # BOOTP server
bootpc                          68 # BOOTP client
gopher                          70 # Internet Gopher
rje                             77 
finger                          79 
http                            80 # WorldWideWeb HTTP
link                            87 
kerberos                        88 # Kerberos v5
supdup                          95 
hostnames                       101 # usually from sri-nic
iso-tsap                        102 # part of ISODE
acr-nema                        104 # Digital Imag. & Comm. 300
csnet-ns                        105 # also used by CSO name server
rtelnet                         107 # Remote Telnet
pop2                            109 # POP version 2
pop3                            110 # POP version 3
sunrpc                          111 # RPC 4.0 portmapper
auth                            113 
sftp                            115 
netbios-ns                      137 # NETBIOS Name Service
netbios-dgm                     138 # NETBIOS Datagram Service
netbios-ssn                     139 # NETBIOS session service
imap2                           143 # Interim Mail Access P 2 and 4
snmp                            161 # Simple Net Mgmt Protocol
snmp-trap                       162 # Traps for SNMP
cmip-man                        163 # ISO mgmt over IP (CMOT)
cmip-agent                      164 
mailq                           174 # Mailer transport queue for Zmailer
xdmcp                           177 # X Display Mgr. Control Proto
nextstep                        178 # NeXTStep window
bgp                             179 # Border Gateway Protocol
prospero                        191 # Cliff Neuman's Prospero
irc                             194 # Internet Relay Chat
smux                            199 # SNMP Unix Multiplexer
at-rtmp                         201 # AppleTalk routing
at-nbp                          202 # AppleTalk name binding
at-echo                         204 # AppleTalk echo
at-zis                          206 # AppleTalk zone information
qmtp                            209 # Quick Mail Transfer Protocol
z3950                           210 # NISO Z39.50 database
ipx                             213 # IPX
imap3                           220 # Interactive Mail Access
pawserv                         345 # Perf Analysis Workbench
zserv                           346 # Zebra server
fatserv                         347 # Fatmen Server
rpc2portmap                     369 
codaauth2                       370 
clearcase                       371 
ulistserv                       372 # UNIX Listserv
ldap                            389 # Lightweight Directory Access Protocol
imsp                            406 # Interactive Mail Support Protocol
svrloc                          427 # Server Location
https                           443 # http protocol over TLSSSL
snpp                            444 # Simple Network Paging Protocol
microsoft-ds                    445 # Microsoft Naked CIFS
kpasswd                         464 
urd                             465 # URL Rendesvous Directory for SSM
saft                            487 # Simple Asynchronous File Transfer
isakmp                          500 # IPsec - Internet Security Association
rtsp                            554 # Real Time Stream Control Protocol
nqs                             607 # Network Queuing system
npmp-local                      610 # npmp-local  DQS
npmp-gui                        611 # npmp-gui  DQS
hmmp-ind                        612 # HMMP Indication  DQS
qmqp                            628 
ipp                             631 # Internet Printing Protocol
webster                         765 # Network dictionary
rsync                           873 
ftps-data                       989 # FTP over SSL (data)
ftps                            990 
telnets                         992 # Telnet over SSL
imaps                           993 # IMAP over SSL
ircs                            994 # IRC over SSL
pop3s                           995 # POP-3 over SSL
socks                           1080 # socks proxy server
openvpn                         1194 
rmiregistry                     1099 # Java RMI Registry
nessus                          1241 # Nessus vulnerability
ms-sql-s                        1433 # Microsoft SQL Server
ms-sql-m                        1434 # Microsoft SQL Monitor
prospero-np                     1525 # Prospero non-privileged
radius-acct                     1813 # Radius Accounting
msnp                            1863 # MSN Messenger
unix-status                     1957 # remstats unix-status server
log-server                      1958 # remstats log server
remoteping                      1959 # remstats remoteping server
nfs                             2049 # Network File System
rtcm-sc104                      2101 # RTCM SC-104 IANA 12999
cvspserver                      2401 # CVS clientserver operations
venus                           2430 # codacon port
gds-db                          3050 # InterBase server
icpv2                           3130 # Internet Cache Protocol
mysql                           3306 
nut                             3493 # Network UPS Tools
